Numero de Tratativas;Número da programação;Aut. embarque;Tipo de programação;Situação programação;CNPJ Transportadora;Transportadora;Nome local de atendimento;Situação prazo programação;Previsão início atendimento (BRA);Situação viagem;Dt. inclusão da programação;Cidade de destino;Dt chegada local de atendimento (BRA);Dt saída local de atendimento (BRA);Cidade de origem;Cidade local de atendimento;Placa do veículo;Placa da carreta 1;Embarcador;Placa da carreta 2;Valor da viagem;Data de criação da AE;Observação Aberta;Última tratativa
0;3REC75171A;877243;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TRANSPORTADORA AMERICANA LTDA;No prazo;21/03/2023 08:00:00;CONCLUIDA;17/03/2023 13:45:53;;21/03/2023 08:00:00;21/03/2023 08:00:00;IPOJUCA/PE;JABOATAO DOS GUARARAPES/PE;PEX2D92 ;BYB5B41 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;30/03/2023 17:26:07;...;
0;3REC75189A;864791;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;TEXMAP COMERCIO DE MAQUINAS TEXTEIS E PECAS LTDA;No prazo;21/03/2023 08:00:00;CONCLUIDA;17/03/2023 15:12:41;;21/03/2023 08:00:00;21/03/2023 13:00:00;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;AUT4G65 ;IXY8A18 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 00:03:48;...;
0;3REC75191A;864799;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;21/03/2023 08:00:00;CONCLUIDA;17/03/2023 15:12:41;;21/03/2023 06:51:35;21/03/2023 09:48:35;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;MAN3291 ;HVQ3G39 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 00:08:04;...;
0;3REC75190A;864797;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;21/03/2023 08:30:00;CONCLUIDA;17/03/2023 15:12:41;;21/03/2023 07:53:42;21/03/2023 10:47:01;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;BYH7131 ;GNE1311 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 00:06:18;...;
0;3SSZ336868A;864455;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;UNILEVER DO BRASIL LTDA;No prazo;21/03/2023 09:00:00;CONCLUIDA;16/03/2023 12:56:14;;21/03/2023 07:26:00;21/03/2023 08:00:00;SANTOS/SP;LOUVEIRA/SP;RIS6G08 ;FWE4C93 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;20/03/2023 18:36:58;SML27328595;
0;3REC75193A;863904;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;21/03/2023 09:30:00;CONCLUIDA;17/03/2023 15:13:31;;20/03/2023 14:49:03;21/03/2023 11:56:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;ASD2277 ;APU0H68 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;20/03/2023 12:45:32;...;
0;3REC75160A;;Entrega;CANCELADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;GDC ALIMENTOS S A;;21/03/2023 10:00:00;SEM VIAGEM;17/03/2023 13:41:20;;;;IPOJUCA/PE;ALHANDRA/PB;;;ATUALIZAR PARA O EMBARCADOR CORRETO;;1,00;;...;
0;3REC75161A;864936;Coleta;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;AKZO NOBEL LTDA;No prazo;21/03/2023 10:00:00;CONCLUIDA;17/03/2023 13:41:20;;21/03/2023 07:17:37;21/03/2023 14:48:13;;RECIFE/PE;MHM8C59 ;IHJ6429 ;LOG IN LOGISTICA INTERMODAL SA          ;;;21/03/2023 03:18:53;...;
0;3REC75194A;864813;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;21/03/2023 10:00:00;CONCLUIDA;17/03/2023 15:13:31;;21/03/2023 09:03:25;21/03/2023 13:24:46;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HWQ9I12 ;HUF7F13 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 00:18:23;...;
0;3REC75196A;864840;Coleta;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;21/03/2023 10:00:00;CONCLUIDA;17/03/2023 15:13:32;;21/03/2023 09:30:26;21/03/2023 15:11:18;;SAO GONCALO DO AMARANTE/CE;MIE9976 ;IXY8015 ;LOG IN LOGISTICA INTERMODAL SA          ;;;21/03/2023 00:56:51;...;
